gpu_name,benchmark_score,tier
HD 7640G + 7450M Dual,754,B
HD 8570D + HD 7000 Dual,753,B
HD 6650M,752,B
IncrediblE HD 4600,750,B
M535DX,750,B
HD 7660G + HD 8600/8700M Dual,747,B
HD 7640G + 7650M Dual,747,B
HD 7660G + 7610M Dual,746,B
HD 8670D + R5 330 Dual,746,B
HD 6670,745,B
R5 235 + HD 7560D Dual,744,B
HD 7660G + 7670M Dual,743,B
GT 730A,743,B
HD 8650G + 7600M Dual,742,B
R8 M365DX,741,B
Poison Ivy,739,B
HD 7670M + 7670M Dual,738,B
R5 235 + HD 8570D Dual,738,B
R7 M270,734,B
NVS 510,730,B
UHD 610,729,B
HD 7550M/7650M,729,B
GRID K140Q,728,B
R7 FX 9800P RADEON,727,B
HD 6800M,726,B
720A,725,B
HD 615,724,B
920M,723,B
HD 7660G N HD 7660G + HD 7600M N HD 7600M D,723,B
HD 8650G + R5 M200 Dual,723,B
R7 PRO A12 9800B,722,B
Asus GTX 650 FML II EC EGPU,721,B
Mobility Radeon HD 4870,720,B
HD 7540D + 6570 Dual,720,B
HD 8670D + HD 7000 Dual,719,B
HD 8470D + 6450 Dual,717,B
HD 8650G + HD 8570M Dual,716,B
HD 5600,712,B
