canonical_name,cpu_name_normal,manufacturer,benchmark_score,cores,tdp,socket,category
Intel Core i9-10980XE,i9 10980XE,Intel,33408,18,165.0,FCLGA2066,Desktop
Intel Xeon Gold 5220R,Xeon Gold 5220R,Intel,33370,24,150.0,FCLGA3647,Server
AMD EPYC 7302,EPYC 7302,AMD,33015,16,155.0,SP3,Server
AMD Ryzen 9 3900XT,Ryzen 9 3900XT,AMD,32869,12,105.0,AM4,Desktop
AMD Ryzen 9 3900X,Ryzen 9 3900X,AMD,32751,12,105.0,AM4,Desktop
Intel Xeon Platinum 8168,Xeon Platinum 8168,Intel,32616,24,205.0,FCLGA3647,Server
AMD EPYC 7302P,EPYC 7302P,AMD,32480,16,155.0,SP3,Server
AMD Ryzen Threadripper 2990WX,Ryzen Threadripper 2990WX,AMD,32475,32,250.0,sTR4,Desktop
Intel Xeon Gold 6252,Xeon Gold 6252,Intel,32410,24,150.0,FCLGA3647,Server
Intel Core i7-12700F,i7 12700F,Intel,32268,8,65.0,FCLGA1700,Desktop
Intel Xeon Gold 6230R,Xeon Gold 6230R,Intel,32223,26,150.0,FCLGA3647,Server
Intel Core i9-9980XE,i9 9980XE,Intel,31905,18,165.0,FCLGA2066,Desktop
Intel Xeon W-2295,Xeon W 2295,Intel,31680,18,165.0,FCLGA2066,Server
Intel Core i7-12700,i7 12700,Intel,31659,8,65.0,FCLGA1700,Desktop
AMD EPYC 7282,EPYC 7282,AMD,31631,16,120.0,SP3,Server
Intel Xeon Platinum 8259CL,Xeon Platinum 8259CL,Intel,31500,24,210.0,LGA 3647,Server
AMD Ryzen 9 PRO 3900,Ryzen 9 PRO 3900,AMD,31372,12,65.0,AM4,Desktop
AMD EPYC 7371,EPYC 7371,AMD,31094,16,,SP3,Server
AMD Ryzen 9 3900,Ryzen 9 3900,AMD,30660,12,65.0,AM4,Desktop
Intel Core i9-9960X,i9 9960X,Intel,30655,16,165.0,FCLGA2066,Desktop
Intel Xeon Gold 6253CL,Xeon Gold 6253CL,Intel,30616,18,205.0,FCLGA3647,Server
Intel Xeon W-3245,Xeon W 3245,Intel,30549,16,205.0,FCLGA3647,Server
AMD Ryzen Threadripper 2970WX,Ryzen Threadripper 2970WX,AMD,30433,24,250.0,sTR4,Desktop
AMD EPYC 7551P,EPYC 7551P,AMD,30313,32,180.0,SP3,Server
Intel Xeon Gold 6246R,Xeon Gold 6246R,Intel,30220,16,205.0,FCLGA3647,Server
Intel Core i9-12900HK,i9 12900HK,Intel,30213,6,45.0,FCBGA1744,Laptop
Intel Core i9-9990XE,i9 9990XE,Intel,30162,14,255.0,LGA2066,Desktop
Intel Xeon W-3265,Xeon W 3265,Intel,30105,24,205.0,FCLGA3647,Server
Intel Xeon Platinum 8268,Xeon Platinum 8268,Intel,30103,24,205.0,FCLGA3647,Server
Intel Xeon Silver 4314,Xeon Silver 4314,Intel,30043,16,135.0,FCLGA4189,Server
AMD Ryzen Threadripper 2950X,Ryzen Threadripper 2950X,AMD,29981,16,180.0,sTR4,Desktop
Intel Core i9-7980XE,i9 7980XE,Intel,29842,18,165.0,FCLGA2066,Desktop
Intel Core i9-12900H,i9 12900H,Intel,29714,6,45.0,FCBGA1744,Laptop
Intel Xeon Gold 6254,Xeon Gold 6254,Intel,29356,18,200.0,FCLGA3647,Server
Intel Xeon W-2191B,Xeon W 2191B,Intel,29049,18,140.0,FCLGA2066,Server
Intel Xeon Gold 6148,Xeon Gold 6148,Intel,28962,20,150.0,FCLGA3647,Server
Intel Xeon Gold 6210U,Xeon Gold 6210U,Intel,28915,20,150.0,FCLGA3647,Server
Intel Xeon Gold 6154,Xeon Gold 6154,Intel,28848,18,200.0,FCLGA3647,Server
Intel Core i9-10940X,i9 10940X,Intel,28619,14,165.0,FCLGA2066,Desktop
Intel Xeon Gold 5317,Xeon Gold 5317,Intel,28580,12,150.0,FCLGA4189,Server
Intel Core i9-9940X,i9 9940X,Intel,28411,14,165.0,FCLGA2066,Desktop
AMD Ryzen 7 5800X,Ryzen 7 5800X,AMD,28368,8,105.0,AM4,Desktop
AMD EPYC 7401P,EPYC 7401P,AMD,28271,24,155.0,SP3,Server
ARM Neoverse-N1 64 Core 0 MHz,ARM Neoverse N1 64 Core 0 MHz,Intel,28079,64,,unknown,Unknown
AMD Ryzen Threadripper 1950X,Ryzen Threadripper 1950X,AMD,28037,16,180.0,sTR4,Desktop
